whisky,meta_critic,stdev,count,cost,class,super_cluster,cluster,country,type
1792 Full Proof Bourbon,8.95,0.28,4,$$$,Bourbon-like,,,USA,Bourbon
1792 Port Finished Bourbon,8.47,0.09,4,$$$,Bourbon-like,,,USA,Bourbon
1792 Ridgemont Reserve/Small Batch Bourbon,8.59,0.41,15,$$,Bourbon-like,,,USA,Bourbon
1792 Single Barrel Bourbon,8.60,0.39,4,$$$,Bourbon-like,,,USA,Bourbon
1792 Sweet Wheat Bourbon,8.66,0.21,7,$$$$,Bourbon-like,,,USA,Bourbon
2 Gingers Irish Whiskey,8.05,0.35,3,$$,Scotch-like,,,Ireland,Blend
66 Gilead Crimson Rye,8.32,0.45,6,$$,Rye-like,,,Canada,Blend
66 Gilead The Wild Oak,8.04,0.51,6,$$,Bourbon-like,,,Canada,Blend
8 Seconds,7.55,0.44,5,$$,Rye-like,,,Canada,Blend
Aberfeldy 12yo,8.18,0.32,18,$$$,SingleMalt-like,EF,E,Scotland,Malt
Aberfeldy 16yo,8.45,0.20,3,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberfeldy 18yo,8.66,0.26,6,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberfeldy 21yo,8.78,0.20,10,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Aberlour 10yo,8.28,0.34,14,$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour 12yo Double Cask Matured,8.34,0.19,15,$$$,SingleMalt-like,ABC,B,Scotland,Malt
Aberlour 12yo Non-Chill-Filtered,8.79,0.24,11,$$$,SingleMalt-like,ABC,B,Scotland,Malt
Aberlour 16yo Double Cask Matured,8.71,0.18,12,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour 18yo,8.76,0.28,12,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (all batches),8.95,0.16,23,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 30),8.96,0.17,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 32),8.85,0.68,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 33),9.13,0.12,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 34),8.88,0.29,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 35),9.00,0.23,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 36),9.00,0.48,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 37),9.10,0.07,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 38),8.67,0.17,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 39),9.04,0.22,7,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 40),9.10,0.15,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 42),8.78,0.11,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 45),8.99,0.27,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 46),8.93,0.07,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 47),8.92,0.36,7,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 48),8.79,0.53,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 49),9.14,0.06,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 50),8.74,0.34,7,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 52),8.98,0.17,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 53),9.06,0.03,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 54),8.94,0.17,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Alberta Premium,8.22,0.58,11,$,Rye-like,,,Canada,Blend
Alberta Premium Dark Horse,8.61,0.37,15,$,Rye-like,,,Canada,Blend
Alberta Rye Dark Batch,8.70,0.24,7,$$,Rye-like,,,Canada,Blend
Alberta Springs 10yo,8.29,0.42,9,$,Rye-like,,,Canada,Blend
Amrut 100 Peated,8.92,0.38,6,$$$$,SingleMalt-like,J,J,India,Malt
Amrut 6yo Virgin Oak Single Cask,9.09,0.23,3,$$$$,SingleMalt-like,EF,E,India,Malt
