"VABC Liquor and Wines Price List Effective Date: April 01, 2017 - June 30, 2017",,,,,,
Description,Code,Brand,Size,Age,Proof,Price
STRAIGHT BOURBON WHISKEY,21228,1792 Bourbon Full Proof,750ml,,125,$47.99 
STRAIGHT BOURBON WHISKEY,21232,1792 Port Finish Bourbon,750ml,,88.9,$42.99 
STRAIGHT BOURBON WHISKEY,21244,1792 Single Barrel Bourbon,750ml,,98.6,$42.99 
STRAIGHT BOURBON WHISKEY,21236,1792 Small Batch Bourbon,750ml,,93.7,$33.99 
STRAIGHT BOURBON WHISKEY,21242,1792 Sweet Wheat Bourbon,750ml,,91.2,$39.99 
STRAIGHT BOURBON WHISKEY,27833,Abraham Bowman Gingerbread Cocoa Finish Bourbon,375ml,,90,$39.99 
STRAIGHT BOURBON WHISKEY,27484,Abraham Bowman Wheat Bourbon Limited Edition,750ml,,94,$69.99 
STRAIGHT BOURBON WHISKEY,16514,Ancient Age Bourbon,375ml,4YR,80,$6.49 
STRAIGHT BOURBON WHISKEY,16516,Ancient Age Bourbon,750ml,4YR,80,$12.99 
STRAIGHT BOURBON WHISKEY,16517,Ancient Age Bourbon,1L,4YR,80,$14.99 
STRAIGHT BOURBON WHISKEY,16518,Ancient Age Bourbon,1.75L,4YR,80,$26.99 
STRAIGHT BOURBON WHISKEY,16530,Ancient Age Traveler,750ml,4YR,80,$12.99 
STRAIGHT BOURBON WHISKEY,16537,Ancient Ancient Age Bourbon,1L,4YR,90,$16.99 
STRAIGHT BOURBON WHISKEY,16538,Ancient Ancient Age Bourbon,1.75L,4YR,90,$28.99 
STRAIGHT BOURBON WHISKEY,16562,Angel's Envy Port Barrel Bourbon,750ml,,86.6,$49.99 
STRAIGHT BOURBON WHISKEY,16580,Baker's Bourbon,750ml,7YR,107,$49.99 
STRAIGHT BOURBON WHISKEY,16666,Barterhouse Whiskey,750ml,,90.2,$75.99 
STRAIGHT BOURBON WHISKEY,16676,Basil Hayden's Bourbon,750ml,8YR,80,$41.99 
STRAIGHT BOURBON WHISKEY,16796,Belle Meade Bourbon,750ml,,90.4,$41.99 
STRAIGHT BOURBON WHISKEY,16790,Belle Meade Bourbon Madeira Cask Finish,750ml,,90.4,$84.99 
STRAIGHT BOURBON WHISKEY,16798,Belle Meade Bourbon Sherry Finish,750ml,,90.4,$85.29 
STRAIGHT BOURBON WHISKEY,16794,Belle Meade Bourbon Single Barrel,750ml,,92,$68.29 
STRAIGHT BOURBON WHISKEY,21480,Benchmark No. 8 Bourbon,750ml,,80,$10.99 
STRAIGHT BOURBON WHISKEY,21482,Benchmark No. 8 Bourbon,1.75L,,80,$21.99 
STRAIGHT BOURBON WHISKEY,16814,Bib & Tucker Bourbon,750ml,,92,$88.59 
STRAIGHT BOURBON WHISKEY,252,Bird Dog 100ml Variety Pack #2,100ml,,80,$13.99 
STRAIGHT BOURBON WHISKEY,16826,Bird Dog Bourbon,750ml,,80,$18.99 
STRAIGHT BOURBON WHISKEY,16829,Bird Dog Small Batch Bourbon,750ml,,86,$29.99 
STRAIGHT BOURBON WHISKEY,16845,Blanton Single Barrel Bourbon,375ml,,93,$26.99 
STRAIGHT BOURBON WHISKEY,16850,Blanton Single Barrel Bourbon,750ml,,93,$58.99 
STRAIGHT BOURBON WHISKEY,16862,Blood Oath: Pact 2,750ml,,49,$109.99 
STRAIGHT BOURBON WHISKEY,16890,Bond & Lillard,375ml,,100,$59.99 
STRAIGHT BOURBON WHISKEY,16906,Booker's Bourbon,750ml,8YR,126,$69.99 
STRAIGHT BOURBON WHISKEY,16968,Bourbon Supreme Bourbon,1.75L,4YR,80,$20.99 
