whisky,meta_critic,stdev,count,cost,class,super_cluster,cluster,country,type,alt_brand
1792 Full Proof Bourbon,8.95,0.28,4,$$$,Bourbon-like,,,USA,Bourbon,1792 full proof
1792 Port Finished Bourbon,8.47,0.09,4,$$$,Bourbon-like,,,USA,Bourbon,1792 finish port
1792 Ridgemont Reserve/Small Batch Bourbon,8.59,0.41,15,$$,Bourbon-like,,,USA,Bourbon,1792 batch reserve/small ridgemont
1792 Single Barrel Bourbon,8.6,0.39,4,$$$,Bourbon-like,,,USA,Bourbon,1792 barrel single
1792 Sweet Wheat Bourbon,8.66,0.21,7,$$$$,Bourbon-like,,,USA,Bourbon,1792 sweet wheat
2 Gingers Irish Whiskey,8.05,0.35,3,$$,Scotch-like,,,Ireland,Blend,2 gingers
66 Gilead Crimson Rye,8.32,0.45,6,$$,Rye-like,,,Canada,Blend,66 crimson gilead rye
66 Gilead The Wild Oak,8.04,0.51,6,$$,Bourbon-like,,,Canada,Blend,66 gilead oak the wild
8 Seconds,7.55,0.44,5,$$,Rye-like,,,Canada,Blend,8 seconds
Aberfeldy 12yo,8.18,0.32,18,$$$,SingleMalt-like,EF,E,Scotland,Malt,12 aberfeldy
Aberfeldy 16yo,8.45,0.2,3,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,16 aberfeldy
Aberfeldy 18yo,8.66,0.26,6,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,18 aberfeldy
Aberfeldy 21yo,8.78,0.2,10,$$$$$,SingleMalt-like,EF,E,Scotland,Malt,21 aberfeldy
Aberlour 10yo,8.28,0.34,14,$$,SingleMalt-like,ABC,C,Scotland,Malt,10 aberlour
Aberlour 12yo Double Cask Matured,8.34,0.19,15,$$$,SingleMalt-like,ABC,B,Scotland,Malt,12 aberlour cask double matured
Aberlour 12yo Non-Chill-Filtered,8.79,0.24,11,$$$,SingleMalt-like,ABC,B,Scotland,Malt,12 aberlour chill filtered non
Aberlour 16yo Double Cask Matured,8.71,0.18,12,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,16 aberlour cask double matured
Aberlour 18yo,8.76,0.28,12,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,18 aberlour
Aberlour A'Bunadh (all batches),8.95,0.16,23,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,a'bunadh aberlour all batches
Aberlour A'Bunadh (Batch 30),8.96,0.17,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,30 a'bunadh aberlour batch
Aberlour A'Bunadh (Batch 32),8.85,0.68,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,32 a'bunadh aberlour batch
Aberlour A'Bunadh (Batch 33),9.13,0.12,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,33 a'bunadh aberlour batch
Aberlour A'Bunadh (Batch 34),8.88,0.29,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,34 a'bunadh aberlour batch
Aberlour A'Bunadh (Batch 35),9.0,0.23,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,35 a'bunadh aberlour batch
Aberlour A'Bunadh (Batch 36),9.0,0.48,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,36 a'bunadh aberlour batch
